,country,life_expectancy,infant_mortality,adult_mortality,health_expenditure,poverty
0,AFG,63.2099,65.9,245.2249,8.18227,
1,AGO,63.06044,,237.9694,3.3069800000000003,43.4
2,ALB,78.00018,18.0,96.40514,5.88311,0.6000000000000001
3,ARE,76.07952,,73.95345,3.64399,
4,ARG,76.57514,,111.4288,4.78592,0.9
5,ARM,76.02519,13.0,116.4358,4.48015,2.5
6,ATG,76.45393,,119.8657,5.54168,
7,AUS,83.04064,,60.72528,9.4223,
8,AUT,81.64519,,61.88845,11.20547,
9,AZE,71.42894,43.0,117.6489,6.03686,0.4
10,BDI,63.83847,59.0,290.1858,7.53557,81.3
11,BEL,81.42305,,71.56112,10.59475,
12,BEN,63.42606,42.0,242.3741,4.5943000000000005,47.3
13,BFA,62.7035,65.0,254.6027,4.96026,44.6
14,BGD,74.25471,43.0,130.232,2.819,43.3
15,BGR,75.07156,,135.3411,8.44291,0.0
16,BHR,75.81459,,56.80697,4.9808,
17,BHS,73.21226,,159.2046,7.74236,
18,BIH,76.75007,,92.02609,9.57202,0.0
19,BLR,74.80977,15.7,160.5829,5.6877200000000006,0.1
20,BLZ,74.40823,22.5,179.2545,5.78895,
21,BOL,72.13765,50.0,182.2321,6.33483,15.6
22,BRA,75.90331,39.0,142.7784,8.32283,6.1
23,BRB,76.0344,,100.4418,7.4693000000000005,
24,BRN,74.32442,,97.70415,2.64816,
25,BTN,73.1091,46.9,206.9694,3.57301,10.2
26,BWA,62.24785,,249.2413,5.412,
27,CAF,53.09729,105.2,411.9438,4.20022,62.8
28,CAN,82.23827,,62.83084,10.44958,
29,CHE,83.44616,,49.20185,11.65927,
30,CHL,80.73621,,87.42916,7.7858600000000004,1.4
31,CHN,77.43322,,80.35584,5.54823,11.8
32,CIV,62.91527,68.0,397.78,5.71627,23.8
33,CMR,62.35601,62.0,341.3811,4.10367,9.6
34,COD,62.35105,58.0,256.1018,4.32823,87.7
35,COG,64.73853,39.0,260.5036,5.15141,54.1
36,COL,79.31356,16.0,137.1368,7.2013,8.2
37,COM,67.3913,36.0,224.9509,6.7476400000000005,46.1
38,CPV,74.03075,,121.7998,4.7597000000000005,
39,CRI,80.84692,,96.74338,9.31311,3.1
40,CUB,77.76285,7.9,92.46183,11.0588,
41,CYP,83.14104,,55.41083,7.36761,
42,CZE,79.1303,,81.13068,7.41091,
43,DEU,81.72252,,68.68589,11.297,
44,DJI,65.81488,63.6,244.5206,10.56826,
45,DNK,81.31571,,65.03622,10.80496,
46,DOM,72.84367,27.0,160.0898,4.37578,2.2
47,DZA,77.13415,,95.02545,7.20718,
48,ECU,78.44662,,114.1762,9.16109,4.6
49,EGY,71.81616,25.0,164.5883,5.64212,1.7000000000000002
50,ERI,64.08144,,252.0605,3.33829,
51,ESP,83.21875,,55.78778,9.02989,
52,EST,78.87813,,118.5542,6.37929,0.5
53,ETH,68.6994,59.0,219.473,4.88431,30.7
54,FIN,81.6124,,70.18185,9.67991,
55,FJI,68.01035,,186.2145,4.4875,30.7
56,FRA,82.47668,,70.98227,11.53952,
57,FSM,63.02715,,163.8179,13.70691,
58,GAB,66.46912,43.0,220.698,3.4374700000000002,4.8
59,GBR,81.40353,,66.6791,9.11547,
60,GEO,73.2812,27.4,159.9033,7.41666,18.0
61,GHA,66.27741,54.7,241.2761,3.55729,28.6
62,GIN,61.00587,67.0,262.1077,5.6448,43.3
63,GMB,65.4712,81.5,262.2101,7.3404,33.6
64,GNB,60.21801,129.6,268.9253,5.59314,
65,GNQ,62.19166,,304.7663,3.80408,
66,GRC,81.09948,,66.41975,8.08427,
67,GRD,72.88402,,140.1568,6.09761,
68,GTM,72.01939,45.0,161.6523,6.2023,13.5
69,GUY,65.6929,38.0,263.7115,5.2478,
70,HND,71.93507,24.0,145.0679,8.72268,17.9
71,HRV,78.63747,,87.5144,7.80324,0.1
72,HTI,64.05315,59.0,243.4574,7.55565,
73,HUN,76.44219,,125.8381,7.40078,0.2
74,IDN,71.30966,32.0,175.6083,2.84686,16.2
75,IND,70.78756,57.0,178.0385,4.68509,32.7
76,IRL,81.84092,,62.38533,7.7832,
77,IRN,77.34517,,80.13225,6.89492,1.5
78,IRQ,72.42317,30.5,173.5001,5.53887,2.8
79,ISL,82.32826,,55.00978,8.85917,
80,ISR,82.62151,,57.98429,7.8083100000000005,
81,ITA,82.97414,,53.52959,9.24792,
82,JAM,75.97828,24.6,131.3541,5.36152,0.2
83,JOR,77.87197,17.0,110.5425,7.453,0.1
84,JPN,84.26138,,50.82619,10.22874,
85,KAZ,73.95099,24.5,181.4808,4.35594,0.1
86,KEN,66.08511,52.0,219.2986,5.72029,43.4
87,KGZ,74.18089,27.0,162.3368,6.48376,
88,KHM,70.12289,45.0,170.497,5.67564,18.6
89,KIR,59.41902,,197.0347,10.21295,
90,KOR,83.3047,,60.81405,7.3731100000000005,
91,KWT,80.96625,,79.21947,3.04237,
92,LAO,68.51331,75.7,192.7939,1.86555,33.9
93,LBN,76.43958,,95.61637,6.3937100000000004,
94,LBR,64.07872,54.0,230.2532,10.03633,83.8
95,LBY,75.77909,,150.2959,4.96894,
96,LCA,74.32764,,147.1686,6.71904,
97,LKA,76.86693,,131.4098,3.50335,4.1
98,LSO,50.74881,91.0,483.4906,10.61768,43.4
99,LTU,75.99383,,154.5404,6.55212,0.2
100,LUX,82.41467,,55.5008,6.93787,
101,LVA,75.37604,,153.796,5.88069,0.2
102,MAR,72.98804,40.0,69.05942,5.90778,2.5
103,MDA,73.26277,9.8,166.7539,10.32366,0.4
104,MDG,65.34995,48.0,215.5435,3.04136,81.3
105,MDV,79.59427,14.0,52.53405,13.73352,1.5
106,MEX,76.01043,,126.6144,6.29642,0.7000000000000001
107,MKD,74.8186,13.4,95.82513,6.47637,
108,MLI,62.79813,56.0,269.6224,6.86217,50.4
109,MLT,81.89443,,55.02631,9.74992,
110,MMR,69.1335,,194.9528,2.27575,
111,MNE,75.87666,,99.06138,6.41654,0.0
112,MNG,68.09768,45.5,210.7092,4.73034,
113,MOZ,58.13618,64.0,336.4021,6.97558,59.6
114,MRT,68.37999,77.0,202.3809,3.7727,23.4
115,MUS,74.07175,,145.3546,4.80954,
116,MWI,65.62458,66.0,254.7219,11.37796,61.6
117,MYS,74.718,,122.8846,4.16908,0.0
118,NAM,64.57598,39.0,295.8852,8.92869,31.9
119,NER,63.28761,51.0,250.1592,5.8213,43.6
120,NGA,62.61868,69.0,352.469,3.6688,54.4
121,NIC,75.03769,31.0,145.8617,9.04014,11.9
122,NLD,81.79341,,58.63288,10.89729,
123,NOR,82.61812,,54.65812,9.71972,
124,NPL,70.88377,46.0,150.6497,5.79723,24.8
125,NZL,81.96268,,66.05728,11.02961,
126,OMN,73.89786,,96.24877,3.55394,
127,PAK,65.60827,74.0,159.0599,2.6139200000000002,21.0
128,PAN,79.29353,,110.9972,8.02572,6.6
129,PER,79.89777,17.0,124.0595,5.47303,4.9
130,PHL,70.42632,23.0,193.8597,4.70999,18.4
131,PNG,65.30473,,224.2683,4.26357,
132,POL,78.26672,,110.5996,6.35025,0.1
133,PRK,72.63359,,132.1501,,
134,PRT,81.57421,,75.56303,9.50108,
135,PRY,75.80984,34.0,145.5476,9.81442,7.2
136,QAT,77.17221,,61.75961,2.18706,
137,ROU,75.5658,,134.8221,5.56501,0.4
138,RUS,73.23246,,202.6742,7.07041,0.0
139,RWA,69.10349,50.0,198.2996,7.53155,63.2
140,SAU,74.31111,,89.1287,4.68408,
141,SDN,69.14727,61.1,223.9304,8.42877,19.8
142,SEN,68.57918,43.0,185.1502,4.66497,29.6
143,SGP,83.22195,,51.36488,4.92279,
144,SLB,65.24883,,145.595,5.05106,
145,SLE,60.7705,92.0,388.8057,11.0899,51.7
146,SLV,75.033,,176.8166,6.7724,9.0
147,SOM,56.46892,95.6,316.0549,,
148,SRB,75.87003,21.3,102.5437,10.36881,0.2
149,SSD,62.79444,,321.3851,2.73842,
150,STP,70.41647,38.0,190.6098,8.35347,
151,SUR,71.48003,29.1,180.4631,5.68747,
152,SVK,78.23097,,104.1125,8.05405,0.1
153,SVN,81.30905,,72.04058,9.23389,0.1
154,SWE,82.40387,,52.43221,11.92984,
155,SWZ,57.72837,60.2,393.319,9.25194,40.6
156,SYC,73.34014,,163.0721,3.36982,0.30000000000000004
157,SYR,72.67168,18.0,301.1052,3.25453,1.7000000000000002
158,TCD,59.63255,108.2,359.7015,3.62116,61.9
159,TGO,64.27029,78.2,265.3151,5.24688,28.2
160,THA,77.6988,11.0,147.4164,4.12,0.4
161,TJK,69.50127,60.2,123.2559,6.88088,6.6
162,TKM,69.74881,,190.9719,2.06739,
163,TLS,69.62458,45.0,149.8112,1.4753,
164,TON,72.57066,,133.0206,5.17677,
165,TTO,76.12728,26.7,171.8307,5.9332,
166,TUN,77.03745,14.0,90.99689,7.00386,1.1
167,TUR,78.62457,29.0,104.0207,5.41496,1.3
168,TZA,67.34418,51.0,260.6826,5.58012,67.9
169,UGA,66.69038,54.0,287.9427,7.2221400000000004,38.0
170,UKR,73.01635,9.6,180.0551,7.09574,0.0
171,URY,77.0994,,113.9388,8.58149,0.2
172,USA,78.49568,,114.1238,17.14075,
173,UZB,73.00793,40.7,130.6792,5.83852,
174,VCT,73.21834,,168.7226,8.63024,
175,VEN,73.94636,,156.7178,5.2567,6.6
176,VNM,73.74126,14.1,124.7509,7.06678,16.9
177,VUT,65.3064,23.3,129.376,5.02357,
178,WSM,70.45068,,110.3881,7.21511,
179,YEM,66.63147,63.8,221.2797,5.63699,17.5
180,ZAF,65.25417,45.0,301.3036,8.79698,13.8
181,ZMB,62.4529,70.0,286.3146,4.98676,74.5
182,ZWE,60.68252,57.0,333.9667,6.43947,
183,AND,,,,8.12714,
184,COK,,,,3.37933,
185,DMA,,,,5.48583,
186,KNA,,,,5.08037,
187,MCO,,,,4.33768,
188,MHL,,,,17.13572,
189,NIU,,,,7.44642,
190,NRU,,,,3.32665,
191,PLW,,,,9.02153,
192,SMR,,,,6.12906,
193,TUV,,,,16.53664,
